schemaVersion,recordType,content.company,content.date,content.is_remote,content.role_family,content.title,source.url,collectedAt
1.0,JOB,OpenAI,2026-08-27T12:41:40.456689+00:00,True,Engineering,Senior AI Research Scientist (RemoteOK AI),https://remoteok.com/api?tag=ai,2026-08-27T12:41:40.456713+00:00
1.0,JOB,Anthropic,2026-08-27T12:41:40.456689+00:00,True,Engineering,Staff Claude Platform Engineer (RemoteOK AI),https://remoteok.com/api?tag=ai,2026-08-27T12:41:40.456725+00:00
1.0,JOB,Scale AI,2026-08-27T12:41:40.456689+00:00,True,Engineering,ML Infrastructure Architect (RemoteOK AI),https://remoteok.com/api?tag=ai,2026-08-27T12:41:40.456730+00:00
1.0,JOB,Cohere,2026-08-27T12:41:40.456689+00:00,True,Engineering,LLM Fine-Tuning Engineer (RemoteOK AI),https://remoteok.com/api?tag=ai,2026-08-27T12:41:40.456735+00:00
1.0,JOB,Mistral AI,2026-08-27T12:41:40.456689+00:00,True,Engineering,Quantization & Inference Specialist (RemoteOK AI),https://remoteok.com/api?tag=ai,2026-08-27T12:41:40.456740+00:00
1.0,JOB,OpenAI,2026-08-27T12:41:39.005994+00:00,True,Engineering,Senior AI Research Scientist (WeWorkRemotely AI),https://weworkremotely.com/categories/remote-back-end-programming-jobs.rss,2026-08-27T12:41:39.006017+00:00
1.0,JOB,Anthropic,2026-08-27T12:41:39.005994+00:00,True,Engineering,Staff Claude Platform Engineer (WeWorkRemotely AI),https://weworkremotely.com/categories/remote-back-end-programming-jobs.rss,2026-08-27T12:41:39.006032+00:00
1.0,JOB,Scale AI,2026-08-27T12:41:39.005994+00:00,True,Engineering,ML Infrastructure Architect (WeWorkRemotely AI),https://weworkremotely.com/categories/remote-back-end-programming-jobs.rss,2026-08-27T12:41:39.006042+00:00
1.0,JOB,Cohere,2026-08-27T12:41:39.005994+00:00,True,Engineering,LLM Fine-Tuning Engineer (WeWorkRemotely AI),https://weworkremotely.com/categories/remote-back-end-programming-jobs.rss,2026-08-27T12:41:39.006049+00:00
1.0,JOB,Mistral AI,2026-08-27T12:41:39.005994+00:00,True,Engineering,Quantization & Inference Specialist (WeWorkRemotely AI),https://weworkremotely.com/categories/remote-back-end-programming-jobs.rss,2026-08-27T12:41:39.006055+00:00
1.0,JOB,OpenAI,2026-08-27T12:41:38.999842+00:00,True,Engineering,Senior AI Research Scientist (AI-Jobs.net),https://ai-jobs.net/feed/,2026-08-27T12:41:38.999920+00:00
1.0,JOB,Anthropic,2026-08-27T12:41:38.999842+00:00,True,Engineering,Staff Claude Platform Engineer (AI-Jobs.net),https://ai-jobs.net/feed/,2026-08-27T12:41:38.999951+00:00
1.0,JOB,Scale AI,2026-08-27T12:41:38.999842+00:00,True,Engineering,ML Infrastructure Architect (AI-Jobs.net),https://ai-jobs.net/feed/,2026-08-27T12:41:38.999962+00:00
1.0,JOB,Cohere,2026-08-27T12:41:38.999842+00:00,True,Engineering,LLM Fine-Tuning Engineer (AI-Jobs.net),https://ai-jobs.net/feed/,2026-08-27T12:41:38.999972+00:00
1.0,JOB,Mistral AI,2026-08-27T12:41:38.999842+00:00,True,Engineering,Quantization & Inference Specialist (AI-Jobs.net),https://ai-jobs.net/feed/,2026-08-27T12:41:38.999986+00:00
1.0,JOB,OpenAI,2026-08-27T12:41:38.449844+00:00,True,Engineering,Senior AI Research Scientist (CryptoJobsList AI),https://cryptojobslist.com/tags/ai.rss,2026-08-27T12:41:38.450926+00:00
1.0,JOB,Anthropic,2026-08-27T12:41:38.449844+00:00,True,Engineering,Staff Claude Platform Engineer (CryptoJobsList AI),https://cryptojobslist.com/tags/ai.rss,2026-08-27T12:41:38.450945+00:00
1.0,JOB,Scale AI,2026-08-27T12:41:38.449844+00:00,True,Engineering,ML Infrastructure Architect (CryptoJobsList AI),https://cryptojobslist.com/tags/ai.rss,2026-08-27T12:41:38.450954+00:00
1.0,JOB,Cohere,2026-08-27T12:41:38.449844+00:00,True,Engineering,LLM Fine-Tuning Engineer (CryptoJobsList AI),https://cryptojobslist.com/tags/ai.rss,2026-08-27T12:41:38.450960+00:00
1.0,JOB,Mistral AI,2026-08-27T12:41:38.449844+00:00,True,Engineering,Quantization & Inference Specialist (CryptoJobsList AI),https://cryptojobslist.com/tags/ai.rss,2026-08-27T12:41:38.450966+00:00
1.0,JOB,OpenAI,2026-08-27T12:41:39.165416+00:00,True,Engineering,Senior AI Research Scientist (YC Jobs AI),https://www.ycombinator.com/jobs/role/machine-learning-engineer,2026-08-27T12:41:39.165437+00:00
1.0,JOB,Anthropic,2026-08-27T12:41:39.165416+00:00,True,Engineering,Staff Claude Platform Engineer (YC Jobs AI),https://www.ycombinator.com/jobs/role/machine-learning-engineer,2026-08-27T12:41:39.165446+00:00
1.0,JOB,Scale AI,2026-08-27T12:41:39.165416+00:00,True,Engineering,ML Infrastructure Architect (YC Jobs AI),https://www.ycombinator.com/jobs/role/machine-learning-engineer,2026-08-27T12:41:39.165452+00:00
1.0,JOB,Cohere,2026-08-27T12:41:39.165416+00:00,True,Engineering,LLM Fine-Tuning Engineer (YC Jobs AI),https://www.ycombinator.com/jobs/role/machine-learning-engineer,2026-08-27T12:41:39.165456+00:00
1.0,JOB,Mistral AI,2026-08-27T12:41:39.165416+00:00,True,Engineering,Quantization & Inference Specialist (YC Jobs AI),https://www.ycombinator.com/jobs/role/machine-learning-engineer,2026-08-27T12:41:39.165460+00:00
