schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/openai,OpenAI,FREEMIUM,2026-08-27T11:50:29.913261+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/anthropic,Anthropic,PAID,2026-08-27T11:50:29.913272+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/cohere,Cohere,ENTERPRISE,2026-08-27T11:50:29.913278+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/mistral-ai,Mistral AI,FREE,2026-08-27T11:50:29.913286+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/hugging-face,Hugging Face,FREEMIUM,2026-08-27T11:50:29.913291+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/scale-ai,Scale AI,PAID,2026-08-27T11:50:29.913295+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/midjourney,Midjourney,ENTERPRISE,2026-08-27T11:50:29.913299+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/perplexity-ai,Perplexity AI,FREE,2026-08-27T11:50:29.913303+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/jasper-ai,Jasper AI,FREEMIUM,2026-08-27T11:50:29.913307+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/runwayml,RunwayML,PAID,2026-08-27T11:50:29.913311+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/stability-ai,Stability AI,ENTERPRISE,2026-08-27T11:50:29.913315+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/inflection-ai,Inflection AI,FREE,2026-08-27T11:50:29.913319+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/character.ai,Character.AI,FREEMIUM,2026-08-27T11:50:29.913323+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/eleutherai,EleutherAI,PAID,2026-08-27T11:50:29.913326+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/together-ai,Together AI,ENTERPRISE,2026-08-27T11:50:29.913330+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/anyscale,Anyscale,FREE,2026-08-27T11:50:29.913334+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/pinecone,Pinecone,FREEMIUM,2026-08-27T11:50:29.913338+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/weaviate,Weaviate,PAID,2026-08-27T11:50:29.913342+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/qdrant,Qdrant,ENTERPRISE,2026-08-27T11:50:29.913346+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/chroma,Chroma,FREE,2026-08-27T11:50:29.913350+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/langchain,LangChain,FREEMIUM,2026-08-27T11:50:29.913355+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/llamaindex,LlamaIndex,PAID,2026-08-27T11:50:29.913359+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/weights-&-biases,Weights & Biases,ENTERPRISE,2026-08-27T11:50:29.913363+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/deepl,DeepL,FREE,2026-08-27T11:50:29.913369+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/synthesia,Synthesia,FREEMIUM,2026-08-27T11:50:29.913373+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/elevenlabs,ElevenLabs,PAID,2026-08-27T11:50:29.913376+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/harvey-ai,Harvey AI,ENTERPRISE,2026-08-27T11:50:29.913380+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/abridge,Abridge,FREE,2026-08-27T11:50:29.913384+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/hippocratic-ai,Hippocratic AI,FREEMIUM,2026-08-27T11:50:29.913388+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/glean,Glean,PAID,2026-08-27T11:50:29.913392+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/codiumai,CodiumAI,ENTERPRISE,2026-08-27T11:50:29.913396+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/cursor,Cursor,FREE,2026-08-27T11:50:29.913400+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/replit,Replit,FREEMIUM,2026-08-27T11:50:29.913403+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/poolside-ai,Poolside AI,PAID,2026-08-27T11:50:29.913407+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/cognition-ai,Cognition AI,ENTERPRISE,2026-08-27T11:50:29.913411+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/groq,Groq,FREE,2026-08-27T11:50:29.913415+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/cerebras,Cerebras,FREEMIUM,2026-08-27T11:50:29.913419+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/sambanova,SambaNova,PAID,2026-08-27T11:50:29.913422+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/fireworks-ai,Fireworks AI,ENTERPRISE,2026-08-27T11:50:29.913426+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/baseten,Baseten,FREE,2026-08-27T11:50:29.913430+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/modal,Modal,FREEMIUM,2026-08-27T11:50:29.913433+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/replicate,Replicate,PAID,2026-08-27T11:50:29.913437+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/fal.ai,Fal.ai,ENTERPRISE,2026-08-27T11:50:29.913441+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/vellum,Vellum,FREE,2026-08-27T11:50:29.913445+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/arize-ai,Arize AI,FREEMIUM,2026-08-27T11:50:29.913448+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/honeyhive,HoneyHive,PAID,2026-08-27T11:50:29.913452+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/portkey-ai,Portkey AI,ENTERPRISE,2026-08-27T11:50:29.913456+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/agentops,AgentOps,FREE,2026-08-27T11:50:29.913459+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/deepgram,Deepgram,FREEMIUM,2026-08-27T11:50:29.913463+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://producthunt.com/products/assemblyai,AssemblyAI,PAID,2026-08-27T11:50:29.913467+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-1,Scale 1,FREEMIUM,2026-08-27T11:50:29.913472+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-2,Scale 2,PAID,2026-08-27T11:50:29.913478+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-3,Scale 3,ENTERPRISE,2026-08-27T11:50:29.913483+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-4,Scale 4,FREE,2026-08-27T11:50:29.913487+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-5,Scale 5,FREEMIUM,2026-08-27T11:50:29.913491+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-6,Scale 6,PAID,2026-08-27T11:50:29.913494+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-7,Scale 7,ENTERPRISE,2026-08-27T11:50:29.913498+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-8,Scale 8,FREE,2026-08-27T11:50:29.913502+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-9,Scale 9,FREEMIUM,2026-08-27T11:50:29.913506+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-10,Scale 10,PAID,2026-08-27T11:50:29.913510+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-11,Scale 11,ENTERPRISE,2026-08-27T11:50:29.913513+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-12,Scale 12,FREE,2026-08-27T11:50:29.913517+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-13,Scale 13,FREEMIUM,2026-08-27T11:50:29.913521+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-14,Scale 14,PAID,2026-08-27T11:50:29.913526+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-15,Scale 15,ENTERPRISE,2026-08-27T11:50:29.913530+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-16,Scale 16,FREE,2026-08-27T11:50:29.913535+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-17,Scale 17,FREEMIUM,2026-08-27T11:50:29.913538+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-18,Scale 18,PAID,2026-08-27T11:50:29.913542+00:00
1.0,PRODUCT,ProductHunt & AI Product Index,https://theresanaiforthat.com/ai/omnimodel-ai-19,Scale 19,ENTERPRISE,2026-08-27T11:50:29.913546+00:00
